OBJECTID,Route,Direction,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,Name,Type,Shape__Length
831,0032PM,P,,,13.277,16.993,55,32,M,5980.334538
832,0248PM,P,,,12.576,14.084,55,248,M,2426.895345
833,0032PM,P,,,11.908,13.277,35,32,M,2203.196954
834,0070PM,P,,,21.469,63.928,80,70,M,68331.27316
835,0243PM,P,,,0.699,1.386401,35,243,M,1106.266989
836,0055PM,P,,,2.506,2.945349,45,55,M,707.064372
837,0032PM,P,,,11.008,11.908,45,32,M,1448.411455
838,0089PM,P,,,157.716,157.912,50,89,M,315.4327803
839,0059PM,P,,,19.255,20.67,55,59,M,2277.226938
840,0032PM,P,,,0,9.675,55,32,M,15570.4337
841,0031PM,P,,,32.869,46.897,50,31,M,22575.92309
842,0089PM,P,,,132.961,157.716,65,89,M,39839.39055
843,0066PM,P,,,3.115,4.052,40,66,M,1507.95775
844,0046PM,P,,,20.122,21.612431,55,46,M,2398.620216
845,0038PM,P,,,8.077,8.918,40,38,M,1353.461109
846,0037PM,P,,,0,0.647,30,37,M,1041.248033
847,0073PM,P,,,25.779,31.258,65,73,M,8817.613117
848,0262PM,P,,,22.472,22.674488,35,262,M,325.8737169
849,0031PM,P,,,28.322,32.869,45,31,M,7317.701757
850,0040PM,P,,,17.851,18.242,40,40,M,629.2550051
851,0132PM,P,,,32.114,32.695,55,132,M,935.0310982
852,0032PM,P,,,21.99,27.123,55,32,M,8260.779255
853,0031PM,P,,,18.22,28.322,40,31,M,16257.62555
854,0065PM,P,,,2.471,5.256,45,65,M,4482.031895
855,0031PM,P,,,8.643,18.22,55,31,M,15412.71851
856,0089PM,P,,,499.574,502.025001,50,89,M,3944.524708
857,0055PM,P,,,0.705,1.764,30,55,M,1704.298406
858,0040PM,P,,,155.508,157.178,55,40,M,2687.610593
859,0136PM,P,,,0,3.06403,,136,M,4931.087617
860,0030PM,P,,,109.151,110.189,30,30,M,1668.975601
861,0036PM,P,,,56.687,57.184,50,36,M,799.8462322
862,0030PM,P,,,108.413,109.151,45,30,M,1187.759564
863,0030PM,P,,,98.068,107.437,60,30,M,15078.7537
864,0030PM,P,,,49.448,51.357,55,30,M,3072.243365
865,0157PM,P,,,1.478,2.08,35,157,M,968.8281729
866,0040PM,P,,,157.178,158.44,50,40,M,2030.99579
867,0139PM,P,,,0,1.418695,40,139,M,2283.172346
868,0030PM,P,,,0,49.448,65,30,M,79579.00143
869,0029PM,P,,,17.43,18.384,35,29,M,1535.316982
870,0065PM,P,,,28.137,28.215856,35,65,M,126.9072895
871,0224PM,P,,,7.405,8.422,55,224,M,1636.706571
872,0029PM,P,,,10.295,17.43,55,29,M,11482.69179
873,0055PM,P,,,1.764,2.054,35,55,M,466.7108228
874,0029PM,P,,,4.347,10.295,35,29,M,9572.397982
875,0053PM,P,,,0,1.673,40,53,M,2692.437555
876,0028PM,P,,,42.349,43.668397,55,28,M,2123.368032
877,0072PM,P,,,17.238,31.813,50,72,M,23456.23576
878,0028PM,P,,,39.849,41.293,35,28,M,2323.897346
879,0284PM,P,,,0,0.439,20,284,M,706.5035816
880,0028PM,P,,,38.231,39.849,45,28,M,2603.923464
881,0149PM,P,,,4.157,4.216084,45,149,M,95.08605534
882,0028PM,P,,,30.372,37.891,65,28,M,12100.68133
883,0089PM,P,,,396.376,398.617,60,89,M,3606.558659
884,0030PM,P,,,119.627,124.515,50,30,M,7866.795182
885,0028PM,P,,,29.427,30.372,35,28,M,1520.833553
886,0028PM,P,,,29.275,29.427,45,28,M,244.6199544
887,0138PM,P,,,19.456,20.418763,40,138,M,1549.420457
888,0028PM,P,,,0.378,29.275,65,28,M,46505.30708
889,0089PM,P,,,350.025,364.318,45,89,M,23002.47429
890,0039PM,P,,,46.028,67.835024,55,39,M,35095.07343
891,0028PM,P,,,0,0.378,45,28,M,608.3332774
892,0114PM,P,,,10.561,10.934856,40,114,M,601.6649468
893,0026PM,P,,,2.467,3.742262,35,26,M,2052.339181
894,0190PM,P,,,15.376,15.964,35,190,M,946.2957627
895,0026PM,P,,,0,2.467,45,26,M,3970.259905
896,0199PM,P,,,17.733,20.109,45,199,M,3823.808267
897,0025PM,P,,,7.006,10.003962,35,25,M,4824.761654
898,0089PM,P,,,132.528,132.961,55,89,M,696.8467687
899,0118PM,P,,,15.719,16.366,50,118,M,1041.358362
900,0038PM,P,,,8.918,10.311,45,38,M,2241.820138
901,0025PM,P,,,0,7.006,55,25,M,11275.08654
902,0101PM,P,,,0,0.762,40,101,M,1226.322221
903,0024PM,P,,,115.604,116.946,40,24,M,2159.744034
904,0115PM,P,,,3.943,5.645,55,115,M,2739.108613
905,0035PM,P,,,15.891,23.644,40,35,M,12477.26942
906,0096PM,P,,,6.56,22.777898,55,96,M,26100.22854
907,0024PM,P,,,90.364,94.987,55,24,M,7440.012012
908,0024PM,P,,,69.164,69.745,45,24,M,935.0301119
909,0024PM,P,,,60.905,61.282,50,24,M,606.7239038
910,0209PM,P,,,11.358,11.575,45,209,M,349.2291222
911,0089PM,P,,,470.073,472.193,40,89,M,3411.826921
912,0030PM,P,,,111.439,113.513,40,30,M,3337.915039
913,0079PM,P,,,3.798,5.481,35,79,M,2709.527885
914,0024PM,P,,,59.791,60.905,30,24,M,1792.813141
915,0196PM,P,,,21.692,36.901088,65,196,M,24476.70397
916,0083PM,P,,,0,17.92,65,83,M,28839.50192
917,0024PM,P,,,51.518,51.71,40,24,M,308.9946595
918,0039PM,P,,,13.313,13.858,45,39,M,877.0946529
919,0070PM,P,,,146.616,231.771,80,70,M,137043.9626
920,0201PM,P,,,9.217,16.815,65,201,M,12226.27501
921,0024PM,P,,,79.216,90.364,45,24,M,17941.002
922,0089PM,P,,,228.28,228.93,55,89,M,1046.079397
923,0190PM,P,,,0,1.973,50,190,M,3175.242078
924,0052PM,P,,,1.489,2.095,40,52,M,975.2644927
925,0201PM,P,,,17.695,18.25475,30,201,M,901.4325302
926,0024PM,P,,,0,0.652,50,24,M,1049.293726
927,0024PM,P,,,10.58,51.518,65,24,M,65883.4572
928,0023PM,P,,,28.381,29.849002,60,23,M,2362.524992
929,0104PM,P,,,1.175,1.872,55,104,M,1121.715392
930,0040PM,P,,,86.966,87.295,40,40,M,529.4748464
931,0023PM,P,,,19.813,27.849,60,23,M,12932.71307
932,0023PM,P,,,19.088,19.813,45,23,M,1166.777945
933,0024PM,P,,,57.706,59.791,65,24,M,3355.489299
934,0128PM,P,,,24.38,34.929,45,128,M,16977.00357
935,0303PM,P,,,0,1.698626,,303,M,2733.679575
936,0115PM,P,,,0,0.523,30,115,M,841.6889127
937,0163PM,P,,,0.97,17.785,65,163,M,27061.17276
938,0023PM,P,,,17.587,19.088,35,23,M,2415.629408
939,0040PM,P,,,145.504,149.062,45,40,M,5726.057177
940,0132PM,P,,,54.279,54.999,40,132,M,1158.729657
941,0138PM,P,,,18.811,19.456,50,138,M,1038.028249
942,0023PM,P,,,15.753,17.298,55,23,M,2486.441256
943,0023PM,P,,,8.199,10.164,55,23,M,3162.367531
944,0189PM,P,,,3.515,4.401,45,189,M,1425.880656
945,0023PM,P,,,2.891,6.45,55,23,M,5727.667307
946,0024PM,P,,,55.987,56.461,40,24,M,762.8307935
947,0035PM,P,,,32.541,37.274,55,35,M,7617.039974
948,0023PM,P,,,0,0.404,45,23,M,650.176442
949,0023PM,P,,,27.849,28.381,45,23,M,856.1734524
950,0077PM,P,,,8.895,9.103296,35,77,M,335.2206529
951,0089PM,P,,,382.331,385.041,50,89,M,4361.345069
952,0062PM,P,,,1.317,2.196,40,62,M,1414.615417
953,0030PM,P,,,56.409,90.873,65,30,M,55462.95054
954,0022PM,P,,,0,2.085,45,22,M,3355.488316
955,0021PM,P,,,104.973,106.777,55,21,M,2903.262293
956,0021PM,P,,,77.801,78.135,45,21,M,537.5225758
957,0056PM,P,,,60.726,61.506791,35,56,M,1256.565096
958,0021PM,P,,,77.015,77.341,25,21,M,524.6476638
959,0115PM,P,,,1.655,2.59,50,115,M,1504.739201
960,0029PM,P,,,19.952,21.793645,55,29,M,2963.846764
961,0084PM,P,,,91.51,92.929,65,84,M,2283.66417
962,0089PM,P,,,181.734,184.209,60,89,M,3983.133982
963,0024PM,P,,,67.241,67.85,55,24,M,980.0934201
964,0040PM,P,,,34.792,40.52,55,40,M,9218.341812
965,0034PM,P,,,0,2.168501,30,34,M,3489.871624
966,0021PM,P,,,75.786,76.389,55,21,M,970.4357326
967,0111PM,P,,,2.808,8.607,60,111,M,9332.603615
968,0024PM,P,,,0.652,8.197,65,24,M,12142.52599
969,0065PM,P,,,27.045,28.137,40,65,M,1757.407466
970,0021PM,P,,,1.677,75.786,65,21,M,119267.1134
971,0029PM,P,,,0,4.347,50,29,M,6995.832167
972,0064PM,P,,,0,1.947,35,64,M,3133.39917
973,0119PM,P,,,0,4.174,60,119,M,6717.415283
974,0020PM,P,,,11.872,20.556572,65,20,M,13976.4903
975,0061PM,P,,,4.574,5.319,40,61,M,1198.963752
976,0111PM,P,,,1.515,2.808,50,111,M,2080.886218
977,0032PM,P,,,16.993,18.815,35,32,M,2932.229528
978,0024PM,P,,,52.9,55.111,65,24,M,3558.266888
979,0113PM,P,,,3.312,4.738,35,113,M,2294.92879
980,0199PM,P,,,0,7.775,60,199,M,12512.67466
981,0020PM,P,,,10.385,11.872,35,20,M,2393.100102
982,0089PM,P,,,81.199,81.668,45,89,M,754.7827898
983,0121PM,P,,,0,0.728,35,121,M,1171.604701
984,0132PM,P,,,34.172,34.85,45,132,M,1091.137415
985,0191PM,P,,,71.337,72.686,30,191,M,2171.008731
986,0018PM,P,,,40.737,50.991582,65,18,M,16503.1824
987,0068PM,P,,,32.294,33.168,45,68,M,1406.568715
988,0071PM,P,,,4.544,12.775,40,71,M,13246.53745
989,0150PM,P,,,0,0.68,35,150,M,1094.355616
990,0044PM,P,,,27.366,27.939898,40,44,M,923.600475
991,0121PM,P,,,35.926,38.808,50,121,M,4638.138602
992,0018PM,P,,,34.325,40.737,55,18,M,10319.13438
993,0018PM,P,,,12.251,12.775,55,18,M,843.2972722
994,0119PM,P,,,4.174,6.594,55,119,M,3894.620505
995,0018PM,P,,,3.733,7.166,55,18,M,5524.889391
996,0018PM,P,,,0,3.733,45,18,M,6007.692385
997,0024PM,P,,,8.197,8.822,40,24,M,1005.841493
998,0070NM,N,,,22.808,68.469,80,70,M,73484.40375
999,0085PM,P,,,3.176,12.095,55,85,M,14354.56988
1000,0018NM,N,,,0,0.586776,45,18,M,944.3263223
1001,0089PM,P,,,336.867,345.31,40,89,M,13587.76405
1002,0130PM,P,,,2.685,2.928,40,130,M,391.0717984
1003,0100PM,P,,,0.619,16.944672,55,100,M,26273.67591
1004,0024PM,P,,,112.707,115.604,55,24,M,4662.277843
1005,0030PM,P,,,107.437,108.413,55,30,M,1570.803963
1006,0040PM,P,,,121.398,121.871,50,40,M,761.2215131
1007,0017PM,P,,,4.338,6.055438,60,17,M,2763.953188
1008,0016PM,P,,,21.555,28.996238,65,16,M,11975.53553
1009,0156PM,P,,,0,1.387574,30,156,M,2233.08797
1010,0087PM,P,,,0.409,0.7,40,87,M,468.3203341
1011,0314PM,P,,,0,0.777459,,314,M,1251.201763
1012,0030PM,P,,,113.513,119.627,55,30,M,9839.931552
1013,0070PM,P,,,138.822,146.616,60,70,M,12543.25195
1014,0071PM,P,,,3.938,4.544,45,71,M,975.2639033
1015,0016PM,P,,,19.96,20.272,40,16,M,502.1157632
1016,0015PM,P,,,366.617,400.887724,80,15,M,55153.49397
1017,0084PM,P,,,107.194,119.957841,70,84,M,20541.45187
1018,0070NM,N,,,70.804,73.266,65,70,M,3962.21202
1019,0186PM,P,,,0,0.317,40,186,M,510.1638701
1020,0015PM,P,,,346.07,366.617,75,15,M,33067.25774
1021,0089PM,P,,,103.639,104.112,55,89,M,761.2215436
1022,0127PM,P,,,0,2.511835,45,127,M,4042.414798
1023,0016PM,P,,,20.955,21.555,55,16,M,965.6092573
1024,0015PM,P,,,280.168,280.737,60,15,M,915.7186191
1025,0048PM,P,,,2.615,3.506,50,48,M,1434.480238
1026,0015PM,P,,,256.675,280.168,70,15,M,37808.39383
1027,0089PM,P,,,381.924,382.331,45,89,M,655.0064848
1028,0111PM,P,,,8.607,10.622038,35,111,M,3242.896532
1029,0143PM,P,,,1.484,2.42,40,143,M,1506.34859
1030,0045PM,P,,,0,5.128,50,45,M,8252.732763
1031,0040PM,P,,,144.959,145.504,35,40,M,877.094125
1032,0015PM,P,,,241.916,256.675,75,15,M,23752.35544
1033,0089PM,P,,,256.898,257.342,50,89,M,714.5531569
1034,0030PM,P,,,110.189,111.439,35,30,M,2011.762273
1035,0015PM,P,,,139.097,141.868,75,15,M,4459.501876
1036,0132PM,P,,,46.541,46.915,45,132,M,601.8965577
1037,0224PM,P,,,2.91,4.141,40,224,M,1981.106793
1038,0126PM,P,,,6.232,10.872,45,126,M,7467.37163
1039,0015PM,P,,,63.147,139.097,80,15,M,122229.92
1040,0040PM,P,,,87.744,88.146,55,40,M,646.9579488
1041,0015PM,P,,,56.518,63.147,75,15,M,10668.36426
1042,0186PM,P,,,5.125,8.473,40,186,M,5388.09348
1043,0031PM,P,,,0,0.663,35,31,M,1066.997738
1044,0015PM,P,,,16.611,56.518,80,15,M,64224.21853
1045,0015PM,P,,,14.145,16.611,75,15,M,3968.650643
1046,0015PM,P,,,11.731,13.629,75,15,M,3054.54219
