OBJECTID,LAYER_ID,LAYER_SEGMENT_ID,SHORT_NAME,LAYER_CODE,HPMS_DATA_ITEM,ROUTE_DIR_ID,ROUTE_NAME,START_ACCUM,END_ACCUM,URBAN_CODE,URBAN_DESC,ERR_CD
195762170,14,6919237,Urban Code,URBAN-CODE,Urban_Code,6875,3219,0,2.009,77446,St. George,0
195762171,14,6919281,Urban Code,URBAN-CODE,Urban_Code,6876,3221,0,0.985,77446,St. George,0
195762266,14,6920988,Urban Code,URBAN-CODE,Urban_Code,2557,1698,0,17.464,99999,Rurall,0
195762267,14,6920989,Urban Code,URBAN-CODE,Urban_Code,6952,1699,0,0.523,99998,Small Urban,0
195762268,14,6920990,Urban Code,URBAN-CODE,Urban_Code,5587,1701,0,1.042,99998,Small Urban,0
195762269,14,6920991,Urban Code,URBAN-CODE,Urban_Code,6957,1703,0,0.563,99998,Small Urban,0
195762270,14,6920992,Urban Code,URBAN-CODE,Urban_Code,6958,1705,0,0.95,99998,Small Urban,0
195762271,14,6920993,Urban Code,URBAN-CODE,Urban_Code,6951,1707,0,12.227,99999,Rurall,0
195762272,14,6920994,Urban Code,URBAN-CODE,Urban_Code,6956,1709,0,0.465,99998,Small Urban,0
195762273,14,6917992,Urban Code,URBAN-CODE,Urban_Code,6936,1204,0,1.304,50959,Logan,0
195762274,14,6918036,Urban Code,URBAN-CODE,Urban_Code,6940,1205,0,0.792,50959,Logan,0
195762275,14,6917814,Urban Code,URBAN-CODE,Urban_Code,6933,1185,0,0.379,50959,Logan,0
195762276,14,6917591,Urban Code,URBAN-CODE,Urban_Code,6928,1117,0,1.22,99999,Rurall,0
195762277,14,6930439,Urban Code,URBAN-CODE,Urban_Code,6196,3386,0,0.394,64945,Ogden - Layton,0
195762278,14,6930441,Urban Code,URBAN-CODE,Urban_Code,5581,1331,0,2.292,99998,Small Urban,0
195762369,14,6929999,Urban Code,URBAN-CODE,Urban_Code,5627,3193,0,5.596,99998,Small Urban,0
195762370,14,6930031,Urban Code,URBAN-CODE,Urban_Code,2255,3202,0,48.333,99999,Rurall,0
195762371,14,6930104,Urban Code,URBAN-CODE,Urban_Code,2260,3214,0,19.322,99999,Rurall,0
