OBJECTID,Label,Route,Direction,Type_,Exit_Num,Ramp_Num,Beg_MP,End_MP,Speed_Limit,RteDirID,Shape_Length
329,0199P,0199,P,M,,,20.116,21.96,50,409,3886.67647785411
330,0006P,0006,P,M,,,150.172,152.42,60,1332,4709.12516478675
331,0130P,0130,P,M,,,0,1.501,45,1410,3035.09592221442
332,0009P,0009,P,M,,,26.67,27.366,55,1326,1407.74144504553
333,0024P,0024,P,M,,,8.814,9.617,50,1340,1672.36417850985
334,0015N,0015,N,M,,,137.302,138.834,75,6661,3128.12641621886
335,0066P,0066,P,M,,,9.3,11.645,50,317,5007.46968342185
336,0091P,0091,P,M,,,32.564,34.838,45,324,4914.8428864931
337,0074P,0074,P,M,,,1.924,4.577,45,319,5622.24452623989
338,0089P,0089,P,M,,,277.063,278.075,35,1384,2127.55757934898
339,0092P,0092,P,M,,,0.419,0.722,45,1386,639.019760947366
340,0224P,0224,P,M,,,7.373,8.389,55,357,2154.38710121353
341,0040P,0040,P,M,,,113.866,114.681,30,310,1721.05115802629
342,0133P,0133,P,M,,,6.011,6.128,45,335,241.407571571088
343,0191P,0191,P,M,,,121.159,123.405,55,350,4629.64293831049
344,0089P,0089,P,M,,,62.934,63.066,45,1384,266.666128565172
345,0056P,0056,P,M,,,31.69,55.621,65,314,48610.6348704023
346,0128P,0128,P,M,,,11.102,15.001,45,1319,8037.37012376095
347,0171P,0171,P,M,,,8.099,9.776,45,346,3557.89172855519
348,0031P,0031,P,M,,,32.933,46.946,50,1344,29244.6388792854
349,0089P,0089,P,M,,,63.986,64.562,30,1384,1163.75570258267
350,0050P,0050,P,M,,,131.298,131.552,50,1356,528.661227245226
351,0072P,0072,P,M,,,11.625,15.875,55,1371,8754.34563219826
352,0198P,0198,P,M,,,3.49,3.891,45,408,844.920241966738
353,0009P,0009,P,M,,,10.097,12.776,40,1326,5424.36927974797
354,0023P,0023,P,M,,,17.317,17.607,45,1339,626.487843781589
355,0015P,0015,P,M,,,16.567,56.4,80,1333,80977.4605705259
356,0066P,0066,P,M,,,13.775,14.346,40,317,1219.38322610305
357,0089P,0089,P,M,,,431.321,433.171,50,1384,3943.20279492528
358,0072P,0072,P,M,,,0.431,4.278,50,1371,7934.70064170883
359,0153P,0153,P,M,,,0,1.207,30,341,2485.67876362979
360,0089P,0089,P,M,,,227.706,228.355,55,1384,1350.78752163307
361,0097P,0097,P,M,,,0,0.555,40,1459,1183.91578611094
362,0224P,0224,P,M,,,6.194,6.892,40,357,1493.34718990081
363,0040P,0040,P,M,,,143.676,144.63,30,310,2025.39393871537
364,0133P,0133,P,M,,,6.128,7.183,35,335,2177.51833080645
